Segment_ID,Phrase,clip,ID,clean_text,clean_text2,y,y_pred,confusion
g9rNhtFG9aU9,"Basically, you extend your hand, you do one or two pumps and you shake from your elbow.",9,g9rNhtFG9aU,basically you extend your hand you do one or two pumps and you shake from your elbow,basically extend hand one two pump shake elbow,0,0,0
G4HMKRdIva016,"It’s NOT by our own merit, it’s NOT by our own goodness, but it’s of how great the LORD JESUS IS.",16,G4HMKRdIva0,it’s not by our own merit it’s not by our own goodness but it’s of how great the lord jesus is,’ merit ’ goodness ’ great lord jesus,1,1,0
9PzZSheh10U11," Then you move on perhaps to the bathroom or the concession stand, move into the theater, watch your movie, and then you leave",11,9PzZSheh10U, then you move on perhaps to the bathroom or the concession stand move into the theater watch your movie and then you leave,move perhaps bathroom concession stand move theater watch movie leave,1,0,1
8413319, It's sad,19,84133, its sad,sad,-1,-1,0
TM7cHOHfF708,The chances are people that have no insurance are not going to have the assets necessary to pay out this judgment.,8,TM7cHOHfF70,the chances are people that have no insurance are not going to have the assets necessary to pay out this judgment,chance people insurance going asset necessary pay judgment,0,0,0
67uKYi7mslE6," It’s interesting when it comes to insurance, there are all the time, CE courses, continuing education courses out there of people giving their recommendations",6,67uKYi7mslE, it’s interesting when it comes to insurance there are all the time ce courses continuing education courses out there of people giving their recommendations,’ interesting come insurance time ce course continuing education course people giving recommendation,0,1,1
jjbOD6u7V348,"There's nothing we could do here."" He says, ""The best thing is for you to go and talk to my leader."" Now these guys didn't travel with any of their own radios or communication equipment.",8,jjbOD6u7V34,theres nothing we could do here he says the best thing is for you to go and talk to my leader now these guys didnt travel with any of their own radios or communication equipment,there nothing could say best thing go talk leader guy didnt travel radio communication equipment,1,1,0
252717, This movie is immensely boring,7,25271, this movie is immensely boring,movie immensely boring,-1,-1,0
fSOVk2cS-sY5,And better support each other and the happiness of the child,5,fSOVk2cS-sY,and better support each other and the happiness of the child,better support happiness child,0,1,1
1126043," (umm) I like Morgan Freeman a lot, I don't think these roles give him much to do but it's good seeing him and he he (stutter) plays a pretty convincing God",3,112604, umm i like morgan freeman a lot i dont think these roles give him much to do but its good seeing him and he he stutter plays a pretty convincing god,umm like morgan freeman lot dont think role give much good seeing stutter play pretty convincing god,0,-1,1
bWunvAd96zI3,"If she wants the play to be a success, she'll have to learn new skills and work to keep the cast from fighting",3,bWunvAd96zI,if she wants the play to be a success shell have to learn new skills and work to keep the cast from fighting,want play success shell learn new skill work keep cast fighting,0,1,1
841768," This movie was so bad that I couldn't you know, I tried watching it to the end and I was like this is awful on a level that I have previously not experienced in my existence",8,84176, this movie was so bad that i couldnt you know i tried watching it to the end and i was like this is awful on a level that i have previously not experienced in my existence,movie bad couldnt know tried watching end like awful level previously experienced existence,-1,-1,0
922217, So he has to go find animals,7,92221, so he has to go find animals,go find animal,0,0,0
IHp8hd1jm6k2," They ask employers the most important skills they're seeking in new hires, and communication is number one every year since 1982 and it's evolved",2,IHp8hd1jm6k, they ask employers the most important skills theyre seeking in new hires and communication is number one every year since  and its evolved,ask employer important skill theyre seeking new hire communication number one every year since evolved,1,0,1
LtlL-03S79Q2,"But in this four part video series, I'm going to show you some basic design principles that will give your presentations a clean, professional look that will help you make a great impression and more importantly, get your message across to your audience.",2,LtlL-03S79Q,but in this four part video series im going to show you some basic design principles that will give your presentations a clean professional look that will help you make a great impression and more importantly get your message across to your audience,four part video series im going show basic design principle give presentation clean professional look help make great impression importantly get message across audience,0,1,1
IwQWibE8EOM5,"I’m calling on the private sector, foundations, investors and universities to help us increase opportunities for all entrepreneurs, no matter who they are, where they’re from, or what they look like.",5,IwQWibE8EOM,i’m calling on the private sector foundations investors and universities to help us increase opportunities for all entrepreneurs no matter who they are where they’re from or what they look like,’ calling private sector foundation investor university help u increase opportunity entrepreneur matter ’ look like,1,1,0
5vwXp27bCLw21,"The Bush administration had put forward a plan that was very, very murky, didn't have a correct alignment of incentives and so on.",21,5vwXp27bCLw,the bush administration had put forward a plan that was very very murky didnt have a correct alignment of incentives and so on,bush administration put forward plan murky didnt correct alignment incentive,-1,1,2
23405322," Definitely a good movie for adults, though",22,234053, definitely a good movie for adults though,definitely good movie adult though,1,-1,2
27095614, It was just (uhh) not adult humor I guess,14,270956, it was just uhh not adult humor i guess,uhh adult humor guess,-1,-1,0
19777810, They go through many many different adventures and trials including (umm) a comet that comes and hits the Earth and their home island is destroyed but they end up moving to another one,10,197778, they go through many many different adventures and trials including umm a comet that comes and hits the earth and their home island is destroyed but they end up moving to another one,go many many different adventure trial including umm comet come hit earth home island destroyed end moving another one,0,0,0
24334128," I give it like, zero out of five if I could",28,243341, i give it like zero out of five if i could,give like zero five could,-1,-1,0
LcfubBagG6Q8,Viva Las Vegas is the biggest rockabilly gathering in the entire world,8,LcfubBagG6Q,viva las vegas is the biggest rockabilly gathering in the entire world,viva la vega biggest rockabilly gathering entire world,1,0,1
1023895, It did not hold the attention of my five year old,5,102389, it did not hold the attention of my five year old,hold attention five year old,-1,-1,0
2572473," And (uhh) while I found those films (uhh), particularly Independence Day, to be pretty good, (umm) (uhh) ten thousand BC fails in that department",3,257247, and uhh while i found those films uhh particularly independence day to be pretty good umm uhh ten thousand bc fails in that department,uhh found film uhh particularly independence day pretty good umm uhh ten thousand bc fails department,-1,-1,0
jcQi90n008o12, Our Service Over Self organization does a fantastic job with that effort and initiative,12,jcQi90n008o, our service over self organization does a fantastic job with that effort and initiative,service self organization fantastic job effort initiative,1,1,0
26636611," Another thing I noticed (uhh) was the animation part, it seems that they have just focused on the bodies of these two you know the Hulk and the evil guy",11,266366, another thing i noticed uhh was the animation part it seems that they have just focused on the bodies of these two you know the hulk and the evil guy,another thing noticed uhh animation part seems focused body two know hulk evil guy,-1,0,1
JAnRCQ9A0vI5, Then we followed up with an email blast to identify that this new system was here and what were the advantages of using the system,5,JAnRCQ9A0vI, then we followed up with an email blast to identify that this new system was here and what were the advantages of using the system,followed email blast identify new system advantage using system,0,1,1
namehdJxRIM1,So that's the one I know the best,1,namehdJxRIM,so thats the one i know the best,thats one know best,0,0,0
383741, (umm) This is actually a musical which came out (umm) a few years ago so (umm) of course it's not as a famous anymore,1,38374, umm this is actually a musical which came out umm a few years ago so umm of course its not as a famous anymore,umm actually musical came umm year ago umm course famous anymore,0,0,0
456761, It came out in two thousand and five and it is called Birth,1,45676, it came out in two thousand and five and it is called birth,came two thousand five called birth,1,0,1
HS-2vVP95u86,The exception of course is North Korea where there have been; we've maybe seen this scenario evolving which might indicate the demise of that particular regime.,6,HS-2vVP95u8,the exception of course is north korea where there have been weve maybe seen this scenario evolving which might indicate the demise of that particular regime,exception course north korea weve maybe seen scenario evolving might indicate demise particular regime,0,0,0
2340467," (uhh) This movie's a little stranger than most, it really was very odd",7,234046, uhh this movies a little stranger than most it really was very odd,uhh movie little stranger really odd,0,-1,1
MvFFYObY9A81,The mouth is the gateway to your body's health and a healthy mouth means a healthy body.,1,MvFFYObY9A8,the mouth is the gateway to your bodys health and a healthy mouth means a healthy body,mouth gateway body health healthy mouth mean healthy body,-1,0,1
2411641, (umm) It's starring Tom Hanks and it's winner of five Academy Awards,1,241164, umm its starring tom hanks and its winner of five academy awards,umm starring tom hank winner five academy award,0,-1,1
9cSJglGi9Pg21,Don’t forget to subscribe to Minute Book Reports and thanks for watching.,21,9cSJglGi9Pg,don’t forget to subscribe to minute book reports and thanks for watching,’ forget subscribe minute book report thanks watching,1,1,0
23YlZoucbyM7,""" First of all, flat earth isn't a thing",7,23YlZoucbyM, first of all flat earth isnt a thing,first flat earth isnt thing,-1,-1,0
JDgqyOkzXHw7, What it means to be a Democrat as I understand a lot of the party is focused on diversity but often I see diversity of skin color and not so much diversity of thought which is most concerning to me because at the end of the day we should be judged by what's in our mind and the contents of our character rather than the color of our skin,7,JDgqyOkzXHw, what it means to be a democrat as i understand a lot of the party is focused on diversity but often i see diversity of skin color and not so much diversity of thought which is most concerning to me because at the end of the day we should be judged by whats in our mind and the contents of our character rather than the color of our skin,mean democrat understand lot party focused diversity often see diversity skin color much diversity thought concerning end day judged whats mind content character rather color skin,0,1,1
2024314, (uhh) The young man is probably colleged age,4,202431, uhh the young man is probably colleged age,uhh young man probably colleged age,0,0,0
1361962," He does executive produce, but it is (uhh) directed by Joe Johnston",2,136196, he does executive produce but it is uhh directed by joe johnston,executive produce uhh directed joe johnston,0,1,1
2577715," (uhh) Special effects were great but the cast that, you knew nobody",5,257771, uhh special effects were great but the cast that you knew nobody,uhh special effect great cast knew nobody,1,-1,2
887918," So it makes no sense to have it stand in the same spot for too long (umm) how long is it, two hours",8,88791, so it makes no sense to have it stand in the same spot for too long umm how long is it two hours,make sense stand spot long umm long two hour,0,-1,1
29008811," But obviously, I mean honestly I think that it was a terrible movie",11,290088, but obviously i mean honestly i think that it was a terrible movie,obviously mean honestly think terrible movie,-1,-1,0
2cwNG0YuwtQ1,A lot of people who are applying for a Canadian visitor visa are nervous whether or not they will succeed.,1,2cwNG0YuwtQ,a lot of people who are applying for a canadian visitor visa are nervous whether or not they will succeed,lot people applying canadian visitor visa nervous whether succeed,0,0,0
yDIFWzOBjXc30,We also changed the functionality of the  cancel option when in the middle of a task.,30,yDIFWzOBjXc,we also changed the functionality of the  cancel option when in the middle of a task,also changed functionality cancel option middle task,0,0,0
MIqL9OXszRw1,So I just wanted to pass this stuff on to you and maybe make these videos a little more entertaining,1,MIqL9OXszRw,so i just wanted to pass this stuff on to you and maybe make these videos a little more entertaining,wanted pas stuff maybe make video little entertaining,0,1,1
fWOIAxzBQFY18, It covers some very important yet slightly advanced topics.,18,fWOIAxzBQFY, it covers some very important yet slightly advanced topics,cover important yet slightly advanced topic,0,1,1
gPWyANEm0eE10,"Studies show that average savings by beginning Early Intervention services closer to birth instead of at age five or older might be over $10,000 PER CHILD2. If educational discrepancies are not addressed early, these cognitive gaps will persist, if not widen, as children age.",10,gPWyANEm0eE,studies show that average savings by beginning early intervention services closer to birth instead of at age five or older might be over  per child if educational discrepancies are not addressed early these cognitive gaps will persist if not widen as children age,study show average saving beginning early intervention service closer birth instead age five older might per child educational discrepancy addressed early cognitive gap persist widen child age,-1,0,1
9709522, So it's like a personal vendetta thing and overall it's very action packed,22,97095, so its like a personal vendetta thing and overall its very action packed,like personal vendetta thing overall action packed,1,-1,2
fI9KptYFZeg1,I did feel more removed from them,1,fI9KptYFZeg,i did feel more removed from them,feel removed,0,1,1
1899667," (umm) I did not like the storyline of the movie, first of all",7,189966, umm i did not like the storyline of the movie first of all,umm like storyline movie first,-1,-1,0
BuPhjBayua81,I gave a few companies the same exact project that I had ability to evaluate myself.,1,BuPhjBayua8,i gave a few companies the same exact project that i had ability to evaluate myself,gave company exact project ability evaluate,0,0,0
26679121," (umm) I don't know if it was teaming up with Mark Wahlberg, who has is notori notoriously (stutter) wooden actor I don't know if that hurt the film, or not, but he also did not get anything out of John Leguizamo or Zooey Deschanel, who are usually pretty fine actors themselves",21,266791, umm i dont know if it was teaming up with mark wahlberg who has is notori notoriously stutter wooden actor i dont know if that hurt the film or not but he also did not get anything out of john leguizamo or zooey deschanel who are usually pretty fine actors themselves,umm dont know teaming mark wahlberg notori notoriously stutter wooden actor dont know hurt film also get anything john leguizamo zooey deschanel usually pretty fine actor,-1,-1,0
1907436, I don't see any sense in Freedomland ever being made,6,190743, i dont see any sense in freedomland ever being made,dont see sense freedomland ever made,-1,-1,0
27136638, So that's that's (stutter) one good thing I'd say about it,38,271366, so thats thats stutter one good thing id say about it,thats thats stutter one good thing id say,1,-1,2
25533811," I don't know why they released this in theaters, it doesn't deserve to be in theaters",11,255338, i dont know why they released this in theaters it doesnt deserve to be in theaters,dont know released theater doesnt deserve theater,-1,-1,0
XrNaL-MTjXg7,I have a real purpose objective; can't state the importance enough.,7,XrNaL-MTjXg,i have a real purpose objective cant state the importance enough,real purpose objective cant state importance enough,1,1,0
1361966, (uhh) The third one just feels completely (uhh) unneeded,6,136196, uhh the third one just feels completely uhh unneeded,uhh third one feel completely uhh unneeded,-1,-1,0
90wZz0thye411,I'm actually from a small farm and adjusting to the big city is on-going.,11,90wZz0thye4,im actually from a small farm and adjusting to the big city is ongoing,im actually small farm adjusting big city ongoing,0,1,1
2941781," Now, today I'm going to be reviewing another movies in theaters called The Haunting in Connecticut",1,294178, now today im going to be reviewing another movies in theaters called the haunting in connecticut,today im going reviewing another movie theater called haunting connecticut,0,0,0
1047414," And, it's the story about four friends, (umm), Stan, Kyle, Kenny, and Cartman, who sneak into an, X-rated or R-Rated movie, and it kind of warps their mind and then, for some reason their parents start a war against Canada or something",4,104741, and its the story about four friends umm stan kyle kenny and cartman who sneak into an xrated or rrated movie and it kind of warps their mind and then for some reason their parents start a war against canada or something,story four friend umm stan kyle kenny cartman sneak xrated rrated movie kind warp mind reason parent start war canada something,0,0,0
nhD9WSEIspQ19,"We have a tag technology that we're using with multiple vendors, including ourselves with Xbox and other consumer package good vendors that allow you to literally, with your phone, take things off of a two dimensional product and bring them in and take them home with you.",19,nhD9WSEIspQ,we have a tag technology that were using with multiple vendors including ourselves with xbox and other consumer package good vendors that allow you to literally with your phone take things off of a two dimensional product and bring them in and take them home with you,tag technology using multiple vendor including xbox consumer package good vendor allow literally phone take thing two dimensional product bring take home,1,1,0
5kaCGzjYukM7,"But again, you’re going to hear more from the Secretary on this very shortly, but I did want to just put that out there right at the top since I know you’ve all been interested in it and it just happened.",7,5kaCGzjYukM,but again you’re going to hear more from the secretary on this very shortly but i did want to just put that out there right at the top since i know you’ve all been interested in it and it just happened,’ going hear secretary shortly want put right top since know ’ interested happened,0,1,1
2677992, I didn't like this movie and I'll tell you why,2,267799, i didnt like this movie and ill tell you why,didnt like movie ill tell,-1,-1,0
433718, (umm) So I don't know if you enjoy that,8,43371, umm so i dont know if you enjoy that,umm dont know enjoy,0,-1,1
8085518, The point is this this (stutter) season is as good as all five seasons,18,80855, the point is this this stutter season is as good as all five seasons,point stutter season good five season,1,-1,2
F2M7WbPXRps6,Student loan is not bad debt as long as you're making timely payments.,6,F2M7WbPXRps,student loan is not bad debt as long as youre making timely payments,student loan bad debt long youre making timely payment,0,0,0
OKSx1zxHGpQ18, They will remember me just from seeing my picture,18,OKSx1zxHGpQ, they will remember me just from seeing my picture,remember seeing picture,0,0,0
2290908, (umm) Manos is (umm) The story about some (uhh) it doesn't make any sense,8,229090, umm manos is umm the story about some uhh it doesnt make any sense,umm manos umm story uhh doesnt make sense,-1,-1,0
2299032, This one actually takes place in Paris,2,229903, this one actually takes place in paris,one actually take place paris,0,0,0
IOpWjKAHG8Q5,"Engage those people first, really prioritize and start from there",5,IOpWjKAHG8Q,engage those people first really prioritize and start from there,engage people first really prioritize start,0,1,1
3DgOMTs3A1E4, This is the first of a 2-part video on personal branding,4,3DgOMTs3A1E, this is the first of a part video on personal branding,first part video personal branding,0,0,0
fjE2EZKgQm85,"Not only in terms of being a dispatcher, I love what I do",5,fjE2EZKgQm8,not only in terms of being a dispatcher i love what i do,term dispatcher love,1,0,1
1362115," (umm) It's definitely something that is worth the money you got, you've got (stutter) to see the rest of the Die Hards",5,136211, umm its definitely something that is worth the money you got youve got stutter to see the rest of the die hards,umm definitely something worth money got youve got stutter see rest die hards,1,-1,2
jscKL5jS-SQ5,And if you are not obeying Him you cannot possibly be pleasing to Him.,5,jscKL5jS-SQ,and if you are not obeying him you cannot possibly be pleasing to him,obeying possibly pleasing,-1,0,1
8X5tGQLBqPo1,"As you know, this week we're taking another step forward in the essay writing process.",1,8X5tGQLBqPo,as you know this week were taking another step forward in the essay writing process,know week taking another step forward essay writing process,0,1,1
27159437, Don't go see it,37,271594, dont go see it,dont go see,-1,-1,0
25926032, Don't go see this,32,259260, dont go see this,dont go see,-1,-1,0
22741612," But definitely one that you want to add to your collection, especially if you are a gangster (uhh) movie fan",12,227416, but definitely one that you want to add to your collection especially if you are a gangster uhh movie fan,definitely one want add collection especially gangster uhh movie fan,1,-1,2
25926037, Just wait for that long if you actually want to see this movie,37,259260, just wait for that long if you actually want to see this movie,wait long actually want see movie,0,-1,1
RXcI6PK37lM6,"and General Securities Industry Regulations has 23 questions, and makes up 13% of the exam score.",6,RXcI6PK37lM,and general securities industry regulations has  questions and makes up  of the exam score,general security industry regulation question make exam score,0,1,1
21600712," Everything that he intended and all these sort of (umm) jokes that he meant to be funny in a particular way just aren't the same, and they've added a lot of their own jokes that are funny in a very different way, not not (stutter) what he would have wanted",12,216007, everything that he intended and all these sort of umm jokes that he meant to be funny in a particular way just arent the same and theyve added a lot of their own jokes that are funny in a very different way not not stutter what he would have wanted,everything intended sort umm joke meant funny particular way arent theyve added lot joke funny different way stutter would wanted,-1,-1,0
1356238, I think that they could have done a much better job on that movie,8,135623, i think that they could have done a much better job on that movie,think could done much better job movie,-1,-1,0
b1LEcg6z66g6,The pupil premium is already making a big difference in schools.,6,b1LEcg6z66g,the pupil premium is already making a big difference in schools,pupil premium already making big difference school,1,1,0
23802318," (umm) I don't know how much of course it was all through the movie, because I couldn't get through it",18,238023, umm i dont know how much of course it was all through the movie because i couldnt get through it,umm dont know much course movie couldnt get,-1,-1,0
2c6Gb73nx4E6,"And, did the introduction lead into the rest of the speech?",6,2c6Gb73nx4E,and did the introduction lead into the rest of the speech,introduction lead rest speech,0,1,1
2333562," (umm) I (stutter) you know, I was thinking ""okay, Diane Keaton, (uhh) (uhh) Queen Latifah, Katie Holmes, how bad can it be?"" You know? Diane Keaton's awesome, and Queen Latifah is totally cool, and Katie Holmes she's cute",2,233356, umm i stutter you know i was thinking okay diane keaton uhh uhh queen latifah katie holmes how bad can it be you know diane keatons awesome and queen latifah is totally cool and katie holmes shes cute,umm stutter know thinking okay diane keaton uhh uhh queen latifah katie holmes bad know diane keaton awesome queen latifah totally cool katie holmes shes cute,1,-1,2
27621714, And it's really hard to win,14,276217, and its really hard to win,really hard win,0,-1,1
9zWeMrfr-l01,It is convenient for the idea to get some good energy from the surroundings and then this energy waters the idea and develops it until it becomes self-sustainable,1,9zWeMrfr-l0,it is convenient for the idea to get some good energy from the surroundings and then this energy waters the idea and develops it until it becomes selfsustainable,convenient idea get good energy surroundings energy water idea develops becomes selfsustainable,0,1,1
29579314, Hilarious (uhh) not so much,14,295793, hilarious uhh not so much,hilarious uhh much,-1,-1,0
2lj0BaPsJpM7,The anti zone still exists though because there needs to be an explanation of what the cards do.,7,2lj0BaPsJpM,the anti zone still exists though because there needs to be an explanation of what the cards do,anti zone still exists though need explanation card,0,1,1
2612677," Pixar, whatever",7,261267, pixar whatever,pixar whatever,0,1,1
OmWVs0-6UM3,"In terms of the academic benefits, having to persevere to keep to their higher standards meant I was better prepared for my year back here at Aston.",3,OmWVs0-6UM,in terms of the academic benefits having to persevere to keep to their higher standards meant i was better prepared for my year back here at aston,term academic benefit persevere keep higher standard meant better prepared year back aston,1,1,0
24738214," It's directed by Ang Lee, an excellent director (umm) of (uhh) comic book type movies",14,247382, its directed by ang lee an excellent director umm of uhh comic book type movies,directed ang lee excellent director umm uhh comic book type movie,1,-1,2
6brtMLkjjYk2,They boast about smarter investment for busy people and they really seem to be able to do that.,2,6brtMLkjjYk,they boast about smarter investment for busy people and they really seem to be able to do that,boast smarter investment busy people really seem able,1,1,0
3675067, (umm) Lets you refresh the memory (umm) of what happened in the first part of the movie,7,367506, umm lets you refresh the memory umm of what happened in the first part of the movie,umm let refresh memory umm happened first part movie,0,-1,1
GTGtVdAuyRc3,"The first being, that you're never gonna be out of a job",3,GTGtVdAuyRc,the first being that youre never gonna be out of a job,first youre never gon na job,1,0,1
fz-MzQcOBwQ1, The book for this week was: Solve for Happy how to engineer your way to happiness by Mo Gawdat and he's the chief business officer of Google X,1,fz-MzQcOBwQ, the book for this week was solve for happy how to engineer your way to happiness by mo gawdat and hes the chief business officer of google x,book week solve happy engineer way happiness mo gawdat he chief business officer google x,1,1,0
N7tS7A0WWpM4," And, so he set up a plan for me to have some appointments",4,N7tS7A0WWpM, and so he set up a plan for me to have some appointments,set plan appointment,0,1,1
25183916," We do see a lot of Paris, but thank goodness she has her clothes on",16,251839, we do see a lot of paris but thank goodness she has her clothes on,see lot paris thank goodness clothes,1,1,0
1k7br8xXMSU13,"On the other hand, if I see it's not something that's selling well, I still have to pay them after thirty days, but I also know that I don't need to buy any more of that product, so I don't have to buy a large quantity to start out and take a risk on that.",13,1k7br8xXMSU,on the other hand if i see its not something thats selling well i still have to pay them after thirty days but i also know that i dont need to buy any more of that product so i dont have to buy a large quantity to start out and take a risk on that,hand see something thats selling well still pay thirty day also know dont need buy product dont buy large quantity start take risk,0,0,0
741016," (umm) It was about Jamie Foxx of course played sort of a bad guy who (umm), you know, used kind of used (stutter) the girls against one another to get rich and (umm) get popular",6,74101, umm it was about jamie foxx of course played sort of a bad guy who umm you know used kind of used stutter the girls against one another to get rich and umm get popular,umm jamie foxx course played sort bad guy umm know used kind used stutter girl one another get rich umm get popular,1,0,1
2713669, It really has an effect on the movie,9,271366, it really has an effect on the movie,really effect movie,0,-1,1
2HP4KedfmSc7,So I hope you will look at the works that I've selected by emerging artists for our ongoing Invest in Art series.,7,2HP4KedfmSc,so i hope you will look at the works that ive selected by emerging artists for our ongoing invest in art series,hope look work ive selected emerging artist ongoing invest art series,1,1,0
CzstrpOTtgo10,Think of this as a really long-term process and just do whatever you can to keep it sustainable and do it long-term.,10,CzstrpOTtgo,think of this as a really longterm process and just do whatever you can to keep it sustainable and do it longterm,think really longterm process whatever keep sustainable longterm,1,0,1
XzhRYIeczg45,"A good bit of destruction, and all this destruction is going to culminate into an exciting community gathering space.",5,XzhRYIeczg4,a good bit of destruction and all this destruction is going to culminate into an exciting community gathering space,good bit destruction destruction going culminate exciting community gathering space,1,1,0
GOj7TBcEA8E22,"However, I also believe that many benefits could be achieved through greater coordination and harmonization between the SEC and the CFTC for regulation and oversight of similar types of financial instruments.",22,GOj7TBcEA8E,however i also believe that many benefits could be achieved through greater coordination and harmonization between the sec and the cftc for regulation and oversight of similar types of financial instruments,however also believe many benefit could achieved greater coordination harmonization sec cftc regulation oversight similar type financial instrument,0,1,1
JOK1SSmPtFw15, Some of the multiple choice questions you will have seen before on the quizzes,15,JOK1SSmPtFw, some of the multiple choice questions you will have seen before on the quizzes,multiple choice question seen quiz,0,0,0
MCsvw5-7lVE4,And really invest in sort of answering any questions that your customers have.,4,MCsvw5-7lVE,and really invest in sort of answering any questions that your customers have,really invest sort answering question customer,0,0,0
380191," (umm) Heard a lot of good reviews about it and a lot of people seem to love this movie, but (umm) when I actually went out and bought the DVD and watched it, I was really disappointed",1,38019, umm heard a lot of good reviews about it and a lot of people seem to love this movie but umm when i actually went out and bought the dvd and watched it i was really disappointed,umm heard lot good review lot people seem love movie umm actually went bought dvd watched really disappointed,-1,-1,0
R9ypacCuEZo8,"By giving them this piece of knowledge that was brought to them by another community school site coordinator that has done work on dealing with students who live in trauma, by giving this piece of knowledge to our teachers, they are empowered to go back into the classroom and see their students more clearly.",8,R9ypacCuEZo,by giving them this piece of knowledge that was brought to them by another community school site coordinator that has done work on dealing with students who live in trauma by giving this piece of knowledge to our teachers they are empowered to go back into the classroom and see their students more clearly,giving piece knowledge brought another community school site coordinator done work dealing student live trauma giving piece knowledge teacher empowered go back classroom see student clearly,0,1,1
jjb1cWmkhI82,If you are interested in helping the speech traditionally maybe you've seen the movies stuttering is a very serviceable area for speech pathologists,2,jjb1cWmkhI8,if you are interested in helping the speech traditionally maybe youve seen the movies stuttering is a very serviceable area for speech pathologists,interested helping speech traditionally maybe youve seen movie stuttering serviceable area speech pathologist,1,1,0
E8MuzHUhUHk6,"A helpful hint is that if you are  looking for a booth number on the fly, you can download the NY NOW  mobile app when you get to the show.",6,E8MuzHUhUHk,a helpful hint is that if you are  looking for a booth number on the fly you can download the ny now  mobile app when you get to the show,helpful hint looking booth number fly download ny mobile app get show,0,1,1
IIPYcCii7Sg5,"PRETTY COOL, BUT HERE'S WERE HERE THINGS GET INTERESTING FOR AN ENTIRELY DIFFERENT REASON",5,IIPYcCii7Sg,pretty cool but heres were here things get interesting for an entirely different reason,pretty cool here thing get interesting entirely different reason,1,1,0
n5MU2-GFjo86,There's also behavioral interventions for social anxiety where a therapist will work with an individual to help them understand the triggers for their anxiety so they can take steps to prevent them or control them and gradually become more and more comfortable in social situations.,6,n5MU2-GFjo8,theres also behavioral interventions for social anxiety where a therapist will work with an individual to help them understand the triggers for their anxiety so they can take steps to prevent them or control them and gradually become more and more comfortable in social situations,there also behavioral intervention social anxiety therapist work individual help understand trigger anxiety take step prevent control gradually become comfortable social situation,0,1,1
704205, {makes noise} over and over and over and over again and it has some creepy little Asian boy,5,70420, makes noise over and over and over and over again and it has some creepy little asian boy,make noise creepy little asian boy,0,0,0
887917, (umm) Action (stutter) movies usually have action in them,7,88791, umm action stutter movies usually have action in them,umm action stutter movie usually action,-1,-1,0
27136632," The Mummy franchise is dead, or they need to reboot it or something because Brendan Fraser's one-liners in all this stuff, it's just the public's not gonna take it anymore",32,271366, the mummy franchise is dead or they need to reboot it or something because brendan frasers oneliners in all this stuff its just the publics not gonna take it anymore,mummy franchise dead need reboot something brendan frasers oneliners stuff public gon na take anymore,-1,-1,0
Bg-PA5KTjNs7,I followed the instructions closely and after a few weeks the hair loss actually stopped.,7,Bg-PA5KTjNs,i followed the instructions closely and after a few weeks the hair loss actually stopped,followed instruction closely week hair loss actually stopped,1,0,1
HJTxq72GuMs1,More access to education and making their lives better and therefore the whole economy better as well as reducing poverty.,1,HJTxq72GuMs,more access to education and making their lives better and therefore the whole economy better as well as reducing poverty,access education making life better therefore whole economy better well reducing poverty,1,1,0
27323716, It is absolutely terrible,16,273237, it is absolutely terrible,absolutely terrible,-1,-1,0
3569417," Not a whole lot, but it has like how they created you know, some of the (umm) some of the character, you know, CGI stuff, and everything like that, and how they destroyed a lot of the buildings and stuff like that, but I mean, the movie kind of just isn't that great, so I mean you probably don't wanna pick this DVD up because (umm) the movie's not that great, so you won't be that interested in the special features, so (umm) I'd skip over this one and (uhh) look for another one",17,35694, not a whole lot but it has like how they created you know some of the umm some of the character you know cgi stuff and everything like that and how they destroyed a lot of the buildings and stuff like that but i mean the movie kind of just isnt that great so i mean you probably dont wanna pick this dvd up because umm the movies not that great so you wont be that interested in the special features so umm id skip over this one and uhh look for another one,whole lot like created know umm character know cgi stuff everything like destroyed lot building stuff like mean movie kind isnt great mean probably dont wan na pick dvd umm movie great wont interested special feature umm id skip one uhh look another one,-1,-1,0
RIAEgUKtzxw8,"I feel fine, between what he has done here and the home care program he put put together I think I can maintain a sensible balance from here on up.",8,RIAEgUKtzxw,i feel fine between what he has done here and the home care program he put put together i think i can maintain a sensible balance from here on up,feel fine done home care program put put together think maintain sensible balance,1,1,0
lTfsqoo-jKg2,"- All right, I see you have a knife, okay",2,lTfsqoo-jKg, all right i see you have a knife okay,right see knife okay,0,-1,1
2274267, Essentially she plays a girl who is poor,7,227426, essentially she plays a girl who is poor,essentially play girl poor,0,0,0
22541614," (umm) Weaver does her best with what she's given, and (uhh) but it really doesn't amount to much in my opinion",14,225416, umm weaver does her best with what shes given and uhh but it really doesnt amount to much in my opinion,umm weaver best shes given uhh really doesnt amount much opinion,-1,0,1
451756," (umm) It had its moments but for the most part it's just one of those (umm) stupid comedies (umm) it's about a employee of this like, store who (umm) does slacks off a lot and (umm) this really pretty girl, Jessica Simpson, who moves to the store and he finds out that she really likes employees of the month",6,45175, umm it had its moments but for the most part its just one of those umm stupid comedies umm its about a employee of this like store who umm does slacks off a lot and umm this really pretty girl jessica simpson who moves to the store and he finds out that she really likes employees of the month,umm moment part one umm stupid comedy umm employee like store umm slack lot umm really pretty girl jessica simpson move store find really like employee month,0,-1,1
